1,386,5
1,387,4
1,388,3
2,386,2
2,387,5
2,388,4
2,389,3
2,390,2
2,400,2
3,386,2
3,387,5
3,388,4
3,389,3
3,390,5
3,393,5
3,394,2
3,395,4
3,396,5
3,399,1
3,400,5
3,405,2
3,407,3
3,408,5
3,576,3
3,581,2
3,585,4
3,610,4
4,386,5
4,387,5
4,389,5
4,390,4
4,392,3
4,394,3
4,398,4
4,402,3
4,412,4
4,414,2
4,415,3
4,454,3
4,456,4
4,481,3
5,387,4
5,388,1
5,390,2
5,578,3
6,386,1
6,390,5
6,400,4
7,389,5
7,392,3
7,393,2
8,394,3
9,388,3
10,386,1
11,390,5
12,395,4
13,392,3
14,393,2
16,388,2
16,398,1
19,388,3
19,407,1
